PDF Templates,قوالب PDF
Include Tax In Grand Total,إضافة الضرائب في المجموع الكلي
Display Full Tax Summary,عرض ملخص الضريبة الكاملة
"Orders, Invoices, Credit Memos Display Settings","إعدادات العرض ل الطلبات , الفواتير , طلبات الإسترجاع"
Fixed Product Taxes,الضرائب الثابتة للمنتجات
Display Prices In Product Lists,عرض الأسعار في قوائم المنتجات
Display Prices On Product View Page,عرض الأسعار في صفحة عرض المنتج
Display Prices In Sales Modules,عرض الأسعار في وحدات المبيعات
Display Prices In Emails,عرض الأسعار في رسائل البريد الإلكتروني
Index Management,إدارة الفهرسة
Reindex Data,إعادة فهرسة البيانات
Update Required,التحديث مطلوب
Postal Code is Optional for the following countries,الرمز البريدي اختياري للبلدان التالية
European Union Countries,دول الإتحاد الأوروبي
States Options,خيارات المحافظات
State is required for,المحافظات مطلوبة ل
Display not required State,عرض المحافظة غير مطلوب
Locale Options,خيارات اللغة
Store Contact Telephone,هاتف التواصل الخاص بالمتجر
Store Hours of Operation,ساعات عمل المتجر
VAT Number,الرقم الضريبي
Store Contact Address,عنوان التواصل الخاص بالمتجر
Default Web URL,العنوان الإفتراضي على الويب
Show Breadcrumbs for CMS Pages,عرض Breadcrumbs لصفحات CMS
Disallow Voting in a Poll Multiple Times from Same IP-address,عدم السماح بالتصويت في استطلاع رأي عدة مرات من نفس عنوان IP
Session Cookie Management,Session Cookie إدارة
Browser Capabilities Detection,كشف قدرات المتصفح
Redirect to CMS-page if Cookies are Disabled,إعادة التوجيه إلى صفحة CMS إذا كانت ملفات تعريف الارتباط معطلة
Show Notice if JavaScript is Disabled,إظهار الإشعار إذا تم تعطيل JavaScript
Current Package Name,اسم الحزمة الحالية
Favicon Icon,رمز Favicon
Miscellaneous Scripts,نصوص متنوعة
Display Demo Store Notice,عرض ملاحظة متجر تجريبي
Small Logo Image Src,صورة الشعار الصغير Src
Pagination,ترقيم الصفحات
Pagination Frame,إطار ترقيم الصفحات
Pagination Frame Skip,تخطي إطار ترقيم الصفحات
Anchor Text for Previous,النص الدال على الصفحة السابقة
Anchor Text for Next,النص الدال على الصفحة التالية
Logo Image,صورة اللوجو
Logo Width,عرض اللوجو
Logo Height,طول اللوجو
Email Header Template,قالب رأس رسالة البريد الإلكتروني
Email Footer Template,قالب ذيل رسالة البريد الإلكتروني
Base Currency,العملة الأساسية
Default Display Currency,عملة العرض الافتراضية
Allowed Currencies,العملات المسموح بها
General Contact,التواصل العام
Sales Representative,مندوب مبيعات
Customer Support,خدمة العملاء
Custom Email 1,بريد إلكتروني مخصص ١
Custom Email 2,بريد إلكتروني مخصص ٢
Enable Reports,تفعيل التقارير
Current Month Starts,الشهر الحالي يبدأ من
Select day of the month,إختر يوم من الشهر
WYSIWYG Options, اختيارات WYSIWYG
Enable WYSIWYG Editor,تفعيل محرر ال WYSIWYG
ShopGo,شوب جو
Customer Actions Tracker,تعقب إجراءات العملاء
Tracking Enabled,تفعيل التعقب
Shopgo Social,شوب جو سوشيال
Share Buttons Options,خيارات أيقونة المشاركة
Share Services,خدمات المشاركة
Icons Size,حجم الأيقونات
Icons Shape,شكل الأيقونات
Icons Color,لون الأيقونات
Background Color,لون الخلفية
Social Connect Google Options,خيارات التواصل الإجتماعي لجوجل
Social Connect Facebook Options,خيارات التواصل الإجتماعي للفيس بوك
Enable OpenGraph tags,تفعيل ال OpenGraph tags
Share orders,مشاركة الطلبات
Show comments,عرض التعليقات
Social Connect Twitter Options,خيارات التواصل الإجتماعي لتويتر
Social Connect LinkedIn Options,خيارات التواصل الإجتماعي للينكد إن
Admin Login,دخول المشرف
Quickview,المشاهدة السريعة
Enable Quickview Modul,تفعيل المشاهدة السريعة
Popup Width,عرض النافذة المنبثقة
Popup Height,إرتفاع النافذة المنبثقة
Assistants,المساعدين
Block,المساحة
Allowed IPs (Separated by commas),السماح لعناوين ال IP (مفرق بفواصل)
System Configurations,إعدادات النظام
CMS Assistant,مساعد ال CMS
Follow,متابعة
Path to image link,المسار لرابط الصورة
Pre-Loader,التحميل المسبق ل
Effect,التأثير
Effect duration,مدة التأثير
Auto Related Products,الربط الأوتوماتيكي للمنتجات ذات الصلة
Enable Auto Related Products,تفعيل الربط الأوتوماتيكي
Enable on the backend,تفعيله على لوحة التحكم
Limit,حد
Shopgo Geo,شوب جو جيو
Always show,العرض دائما
Display duration,مدة العرض
Use allowed countries,إستخدام الدول المتاحة
Time in seconds until the notification message disappears,الوقت بالثواني الى أن تتوقف رسالة التنبيه
Show the notification once every NO. day(s).,عرض التنبيه مرة كل يوم (أيام)
Force the shipping notification to ignore cookies and always show.,إجبار تنبيه الشحن تجاهل الكوكيز والعرض دائما
Enable auto currency switcher,تفعيل محول العملة أوتوماتيكيا
This will allow you to switch the currency depends on the customer country automatically.,هذا سيسمح لك بتحويل العملة بناءأ على بلدة العميل
This will allow you to switch the store depends on the customer country automatically.,هذا سيسمح لك بتحويل المتجر بناءا على بلدة العميل
Style Editor,محرر التصميم
Stylesheet Editor,صفحة محرر التصميم
StyleEditor version,نسخة محرر التصميم
ShopGo StyleEditor,محرر التصميم لدى شوب جو
Logo,شعار المتجر
Logo Position,موقع شعار المتجر
Left,يسار
Middle,وسط
Right,يمين
Slider,شريط التمرير
Slider Style,تصميم شريط التمرير
Full,كامل
Left,يسار
Middle,وسط
Right,يمين
None,بلا
Static Block,المساحة الثابتة
Images Flippers,الصورة المتغيرة
Images Count,عدد الصور
2 columns,عامودان
3 Columns,ثلاث أعمدة
4 columns,أربع أعمدة
Speed,السرعة
Brands,العلامات التجارية
Bottom,الأسفل
Top,الأعلى
None ,بلا
Open StyleEditor,فتح محرر التصميم
Easy Checkout,صفحة الدفع Easy Checkout
General Configuration,الإعدادات العامة
Default ZIP/Postal Code,الرمو البريدي الإفتراضي
Checkout Title,عنوان صفحة الدفع
Checkout Description,وصف صفحة الدفع
Enable Terms and Conditions,تفعيل الشروط والأحكام
Enable delivery date option,تفعيل خيار تاريخ التوصيل
EasyCheckout version,نسخة صفحة الدفع EasyCheckout
Address Configuration,إعدادات العنوان
Hide zip code for the following countries,إخفاء الرمز البريدي للبلدان التالية
Use GeoIP for the default country,إستخدام GeoIP للبلد الإفتراضية
Cities data source,مصدر بيانات المدن
City field input type,نوع إدخال حقل المدينة
Allow values other than autocomplete suggestions,السماح ببيانات غير إقتراحات المدن التلقائية
Reload delay,مدة تأخير إعادة التحميل
Delay interval,فترة التأخير
Max input text length,الحد الأقصى لطول النص
Numeric telephone,هاتف رقمي
The maximum characters allowed to be entered in the checkout fields,الحد الأقصى لعدد الأحرف المسموح بإدخالها في حقول صفحة الدفع
When set to yes only numeric entries will be allowed for the telephone number.,عند الضبط على نعم ، سيتم السماح فقط بإدخالات أرقام لرقم الهاتف.
Shipping Configuration,إعدادات الشحن
Default Shipping Method,طريقة الشحن الإفتراضية
Payment Configuration,إعدادات الدفع
Default Payment Method,طريقة الدفع الإفتراضية
Default Payment Method when checkout,طريقة الدفع الإفتراضية في صفحة الدفع
Default Shipping Method when checkout,طريقة الشحن الإفتراضية في صفحة الدفع
Developers Configuration,إعدادات المبرمجين
Show console log,إظهار سجل وحدة التحكم
Output logs in the browser console,سجلات الإخراج في وحدة التحكم
Advanced Configuration,إعدادات متقدمة
Skip cart,تخطي السلة
Redirect newly added items to checkout directly.,إعادة توجيه المنتجات المضافة حديثا الى صفحة الدفع مباشرة
Allow only one item in the cart,السماح بإبقاء منتج واحد فقط في سلة التسوق
This option will clear your store cart each time a customer add a new item to it results in allowing one item in the cart at a time.,هذا الخيار سيمسح سلة تسوق متجرك في كل مرة يقوم العميل بإضافة منتج جديد لسلة التسوق ليكون هناك منتج واحد فقط
UX (Look and Feel) Configuration,إعدادات UX (المظهر والشكل)
Place order button color,لون أيقونة إتمام طلب الشراء
Show discount total,إظهار تفاصيل الخصم
Show the discount on your total cart in checkout page.,إظهار الخصم في مجموع سلة التسوق في صفحة الدفع
Show base grand total,إظهار الإجمالي الأساسي
Show the base grand total in the review section if available.,إظهار الإجمالي الأساسي في قسم المراجعة في حال توفره
Always show shipping methods,دائما إظهار وسائل الشحن
Use default destination address to show the available shipping methods.,إستخدام عنوان الوجهة الأساسي لعرض طرق الشحن المتاحة
Show custom text under review box,عرض نص مخصص تحت صندوق المراجعة
Allow you to add custom text under the review box.,يسمح لك إضافة نص مخصص أسفل صندوق المراجعة
Billing Information Sub Titles,العناوين الفرعية لمعلومات الدفع
Change sub titles for billing Information label,تغيير العناوين الفرعية لقسم معلومات الدفع
Shipping Information Sub Titles,العناوين الفرعية لمعلومات الشحن
Change sub titles for shipping information label,تغيير العناوين الفرعية لقسم معلومات الشحن
Payment Information Sub Titles,العناوين الفرعية لطرق الدفع
Change sub titles for payment information label,تغيير العناوين الفرعية لقسم طرق الدفع
Review Your Order Sub Titles,العناوين الفرعية لقسم مراجعة الطلب
Change sub titles for review your order label,تغيير العناوين الفرعية لقسم مراجعة الطلب
Shopgo Logoupload,شوب جو لرفع شعار المتجر
Shopgo Logoupload configuration,إعدادات رفع شعار المتجر
Auto Newsletter,النشرة الإخبارية التلقائية
Extension is active:,الإضافة مفعلة
Show price,إظهار السعر
Show product price and addToCart button.,إظهار سعرر المنتجات و أيقونة أضف الى السلة
Heading for CMS block,عنوان المساحة الثابتة للمنتجات المميزة
Sort By in Main Block,الترتيب بحسب في المساحة الأساسية
Number Of Items in Main Block,عدد المنتجات في المساحة الأساسية
How many featured products will be showed in main block?,كم عدد المنتجات التي ستظهر في المساحة الأساسية؟
Number Of Items per row in Main Block,عدد المنتجات في الصف الواحد في المساحة الأساسية
How many featured products will be showed per row?,كم عدد المنتجات المميزة التي ستظهر في الصف؟
Thumbnail image dimension (px),أبعاد الصورة المصغرة
Standalone page,الصفحة المستقلة
Heading,الرأس
Meta Title,عنوان الميتا
Keep me informed about important notifications:,إبفيني على إطلاع بالتنبيهات المهمة
Installed Inchoo Extensions,تثبيت ملحقات Inchoo
Easy Tabs,علامات التبويب السهلة
Enable easy tabs,تفعيل علامات التبويب السهلة
Enable description tab,تفعيل تبويبة الوصف
Enable additional info tab,تفعيل تبويبة المعلومات الإضافية
Enable upsell products tab,تفعيل تبويبة المنتجات الأعلى قيمة
Enable related products tab,تفعيل تبويبة المنتجات ذات الصلة
Enable tags products tab,تفعيل تبويبة علامات المنتجات
Enable product's review tab,تفعيل تبويبة مراجعة المنتجات
Custom tabs,تبويبات مخصصة
Enable custom tab #1,تفعيل تبويبة مخصصة # ١
Custom tab #1 attribute id,الرقم المعرف للسمة في التبويب المخصص رقم ١
Custom tab #1 name,اسم التبويبة المخصصة رقم ١
Enable custom tab #2,تفعيل التبويبة المخصصة #٢
Custom tab #2 attribute,السمة الخاصة بالتبويبة المخصصة رقم ٢
Show value of product attribute with following identifier,عرض قيمة سمة المنتج الخاصى بهذا المعرف
Custom tab #2 name,اسم التبويبة المخصصة رقم ٢
Enable custom tab #3,تفعيل تبويبة مخصصة # ٣
Custom tab #3 attribute,السمة الخاصة بالتبويبة المخصصة رقم ٣
Custom tab #3 name,اسم التبويبة المخصصة رقم ٣
Enable custom tab #4,تفعيل التبويبة المخصصة #٤
Custom tab #4 attribute id,الرقم المعرف للسمة في التبويب المخصص رقم ٤
Custom tab #4 name,اسم التبويبة المخصصة رقم ٤
Enable custom tab #5,تفعيل تبويبة مخصصة # ٥
Custom tab #5 attribute id,الرقم المعرف للسمة في التبويب المخصص رقم ٥
Custom tab #5 name,اسم التبويبة المخصصة رقم ٥
Additional CMS tabs,تبويبات إضافية للمساحات الثابتة
Enable cms tab #1,تفعيل تبويبة المساحة الثابتة رقم ١
CMS tab #1 block id,الرقم المعرف للمساحة في تبويبة المساحة الثابتة رقم ١
CMS tab #1 name,اسم تبويبة المساحة الثابتة رقم ١
Enable cms tab #2,تفعيل تبويبة المساحة الثابتة رقم ٢
CMS tab #2 block id,الرقم المعرف للمساحة في تبويبة المساحة الثابتة رقم ٢
CMS tab #2 name,اسم تبويبة المساحة الثابتة رقم ٢
Enable cms tab #3,تفعيل تبويبة المساحة الثابتة رقم ٣
CMS tab #3 block id,الرقم المعرف للمساحة في تبويبة المساحة الثابتة رقم ٣
CMS tab #3 name,اسم تبويبة المساحة الثابتة رقم ٣
Enable cms tab #4,تفعيل تبويبة المساحة الثابتة رقم ٤
CMS tab #4 block id,الرقم المعرف للمساحة في تبويبة المساحة الثابتة رقم ٤
CMS tab #4 name,اسم تبويبة المساحة الثابتة رقم ٤
Enable cms tab #5,تفعيل تبويبة المساحة الثابتة رقم ٥
CMS tab #5 id,الرقم المعرف للمساحة في تبويبة المساحة الثابتة رقم ٥
CMS tab #5 name,اسم تبويبة المساحة الثابتة رقم ٥
Show value of static block with following identifier,إظهار القيمة الخاصة بالمساحة الثابتة الخاصة بالمعرف
Products per Page on Grid Allowed Values,المنتجات لكل صفحة على قيم الشبكة المسموح بها
Products per Page on Grid Default Value,المنتجات لكل صفحة على قيمة الشبكة الافتراضية
Products per Page on List Allowed Values,المنتجات لكل صفحة في قائمة القيم المسموح بها
Products per Page on List Default Value,المنتجات لكل صفحة في قائمة القيمة الافتراضية
Allow All Products per Page,السماح بعرض جميع المنتجات للصفحة
Product Listing Sort by,فرز قائمة المنتجات حسب
Use Flat Catalog Category,استخدم كتالوج الفئة المسطح
Use Flat Catalog Product,استخدام  كتالوج المنتج المسطح
Allow Dynamic Media URLs in Products and Categories,السماح بعناوين URL الديناميكية للوسائط في المنتجات والفئات
Allow Guests to Write Reviews,السماح للزائرين الغير مسجلين بكتابة المراجعات
Product Image,صورة المنتج
Base Image Width,عرض الصورة الأساسية
Small Image Width,عرض الصورة الصغيرة
Maximum resolution for upload image,الوضوحية القصوى لرفع الصورة
Allow Alert When Product Price Changes,السماح بالتنبيه عند حدوث تغيير في سعر المنتج
Price Alert Email Template,قالب الرسالة الإلكترونية الخاصة بتنبيه المنتجات
Allow Alert When Product Comes Back in Stock,السماح بالتنبيه عند عودة المنتجات للمخزون مرة أخرى
Stock Alert Email Template,قالب الرسالة الإلكترونية الخاصة بعودة المنتجات للمخزون
Base Image ,الصورة الأساسية
Small Image ,صورة صغيرة
Flipper Image ,الصورة المتغيرة
Default Recently Viewed Products Count,عدد المنتجات الإفتراضية التي شوهدت مؤخرا
Default Recently Compared Products Count,عدد المنتجات الإفتراضية التي تم مقارنتها
Layered Navigation,نسق المتجر
Display Product Count,عرض عدد المنتجات
Price Navigation Step Calculation,حساب خطوة نقل السعر
Autogenerated Site Map,إنشاء تلقائي لخريطة الموقع
Disable Guest Checkout if Cart Contains Downloadable Items,تعطيل صفحة الدفع الخاصة بالزائرين اذا احتوت سلة التسوق على منتجات يتم تحميلها
Configurable Swatches,عينات منتجات التهيئة
Product Attributes to Show as Swatches in Product Detail,سمة المنتج  التي سيتم عرضها كمحولات في تفاصيل المنتج
Product Attribute to Use for Swatches in Product Listing,سمة المنتج التي سيتم استخدامها كمحول في قائمة المنتج
Swatch Dimensions on Product Detail Page,أبعاد المحول في صفحة تفاصيل المنتج
"Innermost dimensions, not including border, in pixels",الأبعاد الداخلية ، لا تشمل الحدود بالبكسل
Swatch Dimensions in Product Listing,أبعاد المحول في قائمة المنتجات
Swatch Dimensions in Layered Navigation,أبعاد المحول في نسق المتجر
Display Out of Stock Products,عرض المنتجات منتهية المخزون
Display products availability in stock in the frontend,عرض توفر المنتجات في الواجهة الأمامية
Qty for Item's Status to Become Out of Stock,"عدد المسموح التي تصبح بعدها حالة المنتج ""غير متوفر"""
Enable Qty Increments,تفعيل زيادة الكمية
Automatically Return Credit Memo Item to Stock,تلقائيا إرجاع المنتجات في مذكرات الإسترجاع للمخزون
Add Minimum Qty,إضافة حد أقصى للكمية
Email Templates,قوالب الرسالة البريدية
Select Email Template,إختيار قوالب الرسالة البريدية
Show Category Filter As,عرض تصفية الفئة ك
Show Price Filter As,عرض تصفية السعر ك
Show Filters of Type 'Price' As,"عرض تصفيات النوع ""سعر"" ك"
Show All Other Filters As,عرض جميع التصفيات الإخرى ك
Sort Items By,ترتيب المنتجات بحسب
Show Product Count,عرض عدد المنتجات
Filterable (no results) Links Are Not Clickable,قابل للتصنيف (بدون نتائج) الروابط غير قابلة للنقر
Hide CMS Page Content When Filters Are Applied,إخفاء محتوى صفحة CMS عند تطبيق التصفية
Hide CMS Page Product List When No Filters Are Applied,إخفاء قائمة المنتجات في صفحة CMS عند عدم تطبيق التصفية
Hide Filters With Single Visible Item,إخفاء التصفية عند وجود منتج واحد فقط
Item Limit,حد المنتج
Expand/Collapse Time in Milliseconds,توسيع / تضييق الوقت بالملي ثانية
Method of Showing All Items,طريقة عرض جميع المنتجات
Applied to system attribute 'price',"يطبق على سمة النظام ""السعر"""
Applied to all other attributes of price type,"تطبق على جميع السمات الأخرى من النوع ""سعر"""
Not applicable to category and price filters,لاتطبق على تصفيات السعر والفئة
Applicable to all CMS pages including home page where layered navigation is present,تطبق على جميع صفحات CMS من ضمنهم صفحة المتجر الرئيسية عند تفعيل نسق المتجر
"In case filter has more than specified number of items, only first items are displayed, as well as 'Show More' and 'Show Less' actions.","في حال التصفية تحتوي على عدد معين من المنتجات, فقط المنتجات الأولى سيتم عرضها, كما سيتم تفعيل ""مشاهدة المزيد"" و ""مشاهدة القليل"""
Applied to 'Show More' and 'Show Less' actions when 'Preload All Items' parameter is enabled.,"تطبق على ""مشاهدة المزيد"" و ""مشاهدة القليل"" عند تفعيل ""تحميل مسبق لجميع المنتجات"""
Advanced Display Settings,إعدادات متقدمة للعرض
Enable Advanced Display Features,تفعيل مميزات العرض المتقدمة
Show 'Clear' Action,"عرض خيار ""مسح"""
Group Filters By,تجميع التصفيات بحسب
Expand/Collapse Groups,توسيع / تضييق المجموعات
Expand/Collapse/Dropdown Filters,توسيع/تضييق / إنزلاق التصفيات
Help Hint Popup Width,عرض النافذة المنبثقة للتلميجات المساعدة
Filter Positioning,موضع التصفيات
Show Filters,عرض التصفيات
In Left Column,في العامود الأيسر
In Right Column,في العامود الأيمن
Above Product List,فوق قائمة المنتجات
Show Applied Filters in Left Column,عرض التصفيات التي تم تطبيقها في العامود الأيسر
Show Applied Filters in Right Column,عرض التصفيات التي تم تطبيقها في العامود الأيمن
Show Applied Filters Above Products,عرض التصفيات التي تم تطبيقها فوق المنتجات
Categories Block Position,موضع مساحة الفئات
Show 'Above Products' Filters As,"عرض  تصفية ""فوق المنتجات"" ك "
